Api Call: Landroid/content/Context;->startService,Api Call: Landroid/telephony/TelephonyManager;->getSubscriberId,Api Call: Landroid/telephony/TelephonyManager;->getDeviceId,Api Call: Landroid/telephony/TelephonyManager;->getLine1Number,Api Call: Landroid/telephony/TelephonyManager;->getSimSerialNumber,Api Call: Landroid/telephony/TelephonyManager;->getSimOperatorName,Api Call: Landroid/telephony/TelephonyManager;->getCellLocation,Api Call: Landroid/telephony/SmsManager;->sendTextMessage,Api Call: Landroid/content/Intent;->setDataAndType,Api Call: Landroid/content/Intent;->setType,Api Call: Landroid/app/ActivityManager;->getRunningServices,Api Call: Landroid/app/ActivityManager;->getMemoryInfo,Api Call: Landroid/app/ActivityManager;->restartPackage,Api Call: Landroid/content/pm/PackageManager;->getInstalledPackages,Api Call: Ljava/lang/System;->loadLibrary,Api Call: Ljavax/crypto/Cipher;->getInstance,Api Call: Landroid/provider/Browser;->getAllBookmarks,Api Call: Landroid/content/Intent;->describeContents,Api Call: Landroid/content/pm/PackageManager;->getPreferredActivities,Api Call: Landroid/app/Service;->onLowMemory,Api Call: Landroid/os/Parcel;->marshall,Api Call: Ldalvik/system/DexClassLoader;-><init>,Api Call: Ljava/lang/ClassLoader;->loadClass,Api Call: Landroid/accounts/AccountManager;->getAccounts,class
1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
