Dangerous Permission: ACCESS_SUPERUSER,Dangerous Permission: CHANGE_COMPONENT_ENABLED_STATE,Dangerous Permission: CLEAR_APP_USER_DATA,Dangerous Permission: DELETE_CACHE_FILES,Dangerous Permission: DELETE_PACKAGES,Dangerous Permission: DISABLE_KEYGUARD,Dangerous Permission: FACTORY_TEST,Dangerous Permission: INSTALL_PACKAGES,Dangerous Permission: INJECT_EVENTS,Dangerous Permission: INTERNAL_SYSTEM_WINDOW,Dangerous Permission: KILL_BACKGROUND_PROCESSES,Dangerous Permission: MASTER_CLEAR,Dangerous Permission: MODIFY_PHONE_STATE,Dangerous Permission: MOUNT_FORMAT_FILESYSTEM,Dangerous Permission: PROCESS_OUTGOING_CALLS,Dangerous Permission: READ_LOGS,Dangerous Permission: REBOOT,Dangerous Permission: RECEIVE_BOOT_COMPLETED,Dangerous Permission: STATUS_BAR,Dangerous Permission: WRITE_EXTERNAL_STORAGE,Dangerous Permission: WRITE_HISTORY_BOOKMARKS,Dangerous Permission: WRITE_PROFILE,Dangerous Permission: WRITE_SECURE_SETTINGS,Harmless Permission: ACCESS_SURFACE_FLINGER,Harmless Permission: ACCOUNT_MANAGER,Harmless Permission: CONTROL_LOCATION_UPDATES,Harmless Permission: DEVICE_POWER,Harmless Permission: EXPAND_STATUS_BAR,Harmless Permission: FLASHLIGHT,Harmless Permission: FORCE_BACK,Harmless Permission: GET_PACKAGE_SIZE,Harmless Permission: GLOBAL_SEARCH,Harmless Permission: INSTALL_SHORTCUT,Harmless Permission: MODIFY_AUDIO_SETTINGS,Harmless Permission: READ_USER_DICTIONARY,Harmless Permission: REORDER_TASKS,Harmless Permission: SET_ALARM,Harmless Permission: SET_ANIMATION_SCALE,Harmless Permission: SET_ORIENTATION,Harmless Permission: SET_TIME,Harmless Permission: SET_TIME_ZONE,Harmless Permission: SET_WALLPAPER,Harmless Permission: UNINSTALL_SHORTCUT,Harmless Permission: VIBRATE,Harmless Permission: WAKE_LOCK,Harmless Permission: WRITE_CALENDAR,Harmless Permission: WRITE_CALL_LOG,Harmless Permission: WRITE_CONTACTS,Harmless Permission: WRITE_USER_DICTIONARY,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
