feature,score,feature_index
Api Call: Landroid/content/pm/PackageManager;->getPreferredActivities,133172.47712035823,68
Api Call: Landroid/telephony/TelephonyManager;->getSimSerialNumber,81387.77589414023,54
Api Call: Landroid/telephony/TelephonyManager;->getDeviceId,22850.41276341337,52
Api Call: Landroid/content/Intent;->describeContents,21643.13384507325,67
Api Call: Landroid/telephony/TelephonyManager;->getSubscriberId,20809.00329736052,51
Api Call: Ljavax/crypto/Cipher;->getInstance,19921.426799136385,65
Api Call: Landroid/provider/Browser;->getAllBookmarks,18106.3432813346,66
Api Call: Landroid/app/Service;->onLowMemory,18077.28331758766,69
Harmless Permission: WRITE_USER_DICTIONARY,8083.764747738356,49
Api Call: Ljava/lang/ClassLoader;->loadClass,3899.5658348191287,72
Api Call: Landroid/content/Intent;->setDataAndType,1290.2903641224575,58
Harmless Permission: GLOBAL_SEARCH,1019.0650534132008,32
Api Call: Landroid/accounts/AccountManager;->getAccounts,728.3756554190943,73
Dangerous Permission: RECEIVE_BOOT_COMPLETED,698.6357771342418,17
Dangerous Permission: WRITE_HISTORY_BOOKMARKS,474.5570905554937,20
Api Call: Landroid/telephony/TelephonyManager;->getSimOperatorName,445.5827840450536,55
Api Call: Landroid/telephony/TelephonyManager;->getLine1Number,436.44120026475645,53
Harmless Permission: SET_WALLPAPER,389.13348632875716,42
Api Call: Ljava/lang/System;->loadLibrary,280.732061885899,64
Harmless Permission: UNINSTALL_SHORTCUT,256.4113654136042,43
Api Call: Landroid/telephony/TelephonyManager;->getCellLocation,242.15436721248918,56
Harmless Permission: VIBRATE,166.87200995697955,44
Api Call: Landroid/app/ActivityManager;->getRunningServices,114.68124951070038,60
Api Call: Landroid/os/Parcel;->marshall,86.1715386269362,70
Api Call: Landroid/app/ActivityManager;->restartPackage,81.86559631678743,62
Api Call: Ldalvik/system/DexClassLoader;-><init>,43.41702081983582,71
Harmless Permission: EXPAND_STATUS_BAR,27.826285788459156,28
Harmless Permission: SET_TIME_ZONE,26.547726217400314,41
Dangerous Permission: WRITE_EXTERNAL_STORAGE,26.196474057565872,19
Harmless Permission: WRITE_CALL_LOG,19.467785964247167,47
Dangerous Permission: INSTALL_PACKAGES,18.498176549389513,7
Api Call: Landroid/content/Context;->startService,16.58558850092528,50
Api Call: Landroid/content/pm/PackageManager;->getInstalledPackages,14.73040947367339,63
Dangerous Permission: MASTER_CLEAR,10.055651094462252,11
Harmless Permission: MODIFY_AUDIO_SETTINGS,7.59903492490593,34
Api Call: Landroid/app/ActivityManager;->getMemoryInfo,7.335336241555553,61
Harmless Permission: WRITE_CONTACTS,7.187378491806348,48
Suspicious Intent Filter: SHUTDOWN,6.870260626874221,80
Dangerous Permission: MODIFY_PHONE_STATE,5.17902710095309,12
Api Call: Landroid/telephony/SmsManager;->sendTextMessage,5.078622133109652,57
Harmless Permission: REORDER_TASKS,4.048145612979341,36
Dangerous Permission: STATUS_BAR,3.6967273730364476,18
Suspicious Intent Filter: PACKAGE_CHANGED,2.379173645115576,77
Harmless Permission: SET_ANIMATION_SCALE,2.2984901495022148,38
Suspicious Intent Filter: PACKAGE_REMOVED,2.068676514961103,78
Harmless Permission: DEVICE_POWER,2.0445903863017834,27
Dangerous Permission: WRITE_SECURE_SETTINGS,1.8770434911255782,22
Harmless Permission: WAKE_LOCK,1.7442858141869881,45
Dangerous Permission: KILL_BACKGROUND_PROCESSES,1.6618999980565818,10
Dangerous Permission: CHANGE_COMPONENT_ENABLED_STATE,1.6054147807432786,1
Harmless Permission: FORCE_BACK,1.511928689340763,30
Dangerous Permission: CLEAR_APP_USER_DATA,1.327579446782575,2
Harmless Permission: SET_ALARM,1.2925060023747514,37
Harmless Permission: CONTROL_LOCATION_UPDATES,1.2086254002715677,26
Suspicious Intent Filter: NEW_OUTGOING_CALL,1.145215781380297,75
Suspicious Intent Filter: PACKAGE_ADDED,1.0154287518094072,76
Dangerous Permission: DELETE_PACKAGES,0.7812792488001403,4
Dangerous Permission: INJECT_EVENTS,0.7385660296988122,8
Dangerous Permission: WRITE_PROFILE,0.7049625487537459,21
Suspicious Intent Filter: BOOT_COMPLETED,0.5385501937865531,74
Harmless Permission: SET_ORIENTATION,0.4699641733090663,39
Harmless Permission: FLASHLIGHT,0.4699641733090663,29
Harmless Permission: READ_USER_DICTIONARY,0.3540582404421435,35
Harmless Permission: ACCESS_SURFACE_FLINGER,0.3540582404421435,23
Dangerous Permission: INTERNAL_SYSTEM_WINDOW,0.30919037291789186,9
Dangerous Permission: FACTORY_TEST,0.24146150536942823,6
Suspicious Intent Filter: POWER_CONNECTED,0.22243227421093395,79
Dangerous Permission: READ_LOGS,0.20382692350904297,15
Harmless Permission: ACCOUNT_MANAGER,0.1838817378462926,24
Harmless Permission: WRITE_CALENDAR,0.16166030721650776,46
Dangerous Permission: DELETE_CACHE_FILES,0.1539241763171576,3
Api Call: Landroid/content/Intent;->setType,0.1525539201016486,59
Dangerous Permission: PROCESS_OUTGOING_CALLS,0.1229588980917996,14
Dangerous Permission: MOUNT_FORMAT_FILESYSTEM,0.11748697136495119,13
Dangerous Permission: ACCESS_SUPERUSER,0.08900991770482794,0
Dangerous Permission: REBOOT,0.04293665889733766,16
Harmless Permission: INSTALL_SHORTCUT,0.031823960228892716,33
Dangerous Permission: DISABLE_KEYGUARD,0.005060536683544478,5
Harmless Permission: SET_TIME,0.0034157131836093494,40
Harmless Permission: GET_PACKAGE_SIZE,0.0028038247909936967,31
