feature,score,feature_index
SEND_SMS,3421.2259124292123,0
WRITE_CALENDAR,2801.2283742952623,112
WRITE_CALL_LOG,2681.374910715764,115
MASTER_CLEAR,2617.5532631902615,113
UPDATE_DEVICE_STATS,2615.228869233514,114
DELETE_PACKAGES,2593.0700657486523,116
GET_TASKS,2362.9726838606953,117
SET_WALLPAPER,2319.2774658536955,123
GLOBAL_SEARCH,2198.6529025944205,118
DELETE_CACHE_FILES,2053.2110877037867,119
WRITE_USER_DICTIONARY,2008.3414748913542,120
RECEIVE_SMS,1842.3097000431762,3
WRITE_PROFILE,1837.3196114128118,122
REORDER_TASKS,1753.6471119927328,121
READ_SMS,1676.3672938119498,4
BIND_INPUT_METHOD,1561.959853073818,124
GET_ACCOUNTS,1415.415711948644,2
CALL_PRIVILEGED,1319.7942431970312,128
PROCESS_OUTGOING_CALLS,1289.803208267887,127
READ_USER_DICTIONARY,1179.5665714795496,126
READ_SOCIAL_STREAM,1168.7345126813118,125
BIND_WALLPAPER,1062.6622259835758,129
SET_TIME,1058.2584277680362,134
RECEIVE_WAP_PUSH,1046.963082930421,130
WRITE_SMS,953.7770766239971,7
WRITE_SOCIAL_STREAM,933.5605675455453,135
READ_PHONE_STATE,925.2819950965588,1
DUMP,903.2420163860086,131
MANAGE_ACCOUNTS,885.9807753109185,6
USE_CREDENTIALS,881.559183085891,5
STATUS_BAR,834.5947891634679,142
EXPAND_STATUS_BAR,817.7551504033227,185
WRITE_HISTORY_BOOKMARKS,812.0872381416702,10
WRITE_GSERVICES,783.6960263772312,140
INSTALL_PACKAGES,776.3324830449993,11
READ_HISTORY_BOOKMARKS,727.8018251315069,14
BIND_DEVICE_ADMIN,721.8733687403322,139
ACCESS_COARSE_LOCATION,712.0314982403231,133
PERSISTENT_ACTIVITY,688.4922806833499,143
REBOOT,666.243866561719,137
READ_SYNC_SETTINGS,641.8569862832901,8
WRITE_SETTINGS,616.6267906205026,136
KILL_BACKGROUND_PROCESSES,594.3595802025604,141
CAMERA,582.7626839025476,12
AUTHENTICATE_ACCOUNTS,564.2908417219473,9
ACCESS_LOCATION_EXTRA_COMMANDS,554.0337495702773,17
WRITE_SYNC_SETTINGS,544.1659266798198,13
WRITE_APN_SETTINGS,537.8740986824597,18
BLUETOOTH_ADMIN,530.8567187752357,138
ADD_VOICEMAIL,509.0935410810093,150
INTERNAL_SYSTEM_WINDOW,491.0617029058583,186
BIND_APPWIDGET,490.4043288730751,152
BATTERY_STATS,477.23483798508494,132
RECORD_AUDIO,455.53717360846997,15
CHANGE_NETWORK_STATE,441.05939170429804,144
SET_ACTIVITY_WATCHER,414.1711568384304,187
CALL_PHONE,375.24721029107474,151
MODIFY_AUDIO_SETTINGS,365.12016606018915,21
NFC,359.7033247568628,16
WRITE_CONTACTS,350.1252805331318,188
BROADCAST_STICKY,343.82726282792345,23
RESTART_PACKAGES,343.7570783639404,26
BIND_VPN_SERVICE,336.5776486581845,189
BIND_REMOTEVIEWS,328.2819755170958,19
READ_LOGS,323.29634123868783,154
READ_PROFILE,307.7643520472773,20
READ_SYNC_STATS,301.669081331003,22
SET_TIME_ZONE,285.4756694006173,146
DISABLE_KEYGUARD,262.39370861862335,190
SET_PROCESS_LIMIT,252.1311892642961,155
GET_PACKAGE_SIZE,243.75333539574302,192
INSTALL_LOCATION_PROVIDER,238.99290095658762,158
RECEIVE_BOOT_COMPLETED,236.46598283842138,25
FLASHLIGHT,224.1782426628361,153
RECEIVE_MMS,218.39380843966143,145
ACCESS_MOCK_LOCATION,212.590269651269,191
MOUNT_UNMOUNT_FILESYSTEMS,212.590269651269,156
MOUNT_FORMAT_FILESYSTEMS,200.1609517107704,160
BIND_TEXT_SERVICE,199.21271305058585,157
BLUETOOTH,196.82196568158713,27
WAKE_LOCK,194.69194005057733,24
CHANGE_WIFI_STATE,189.08373772138526,163
READ_CALENDAR,185.64855428524038,28
READ_FRAME_BUFFER,178.45761086893194,164
READ_EXTERNAL_STORAGE,172.43926332818052,31
SYSTEM_ALERT_WINDOW,163.54789253897306,159
CHANGE_CONFIGURATION,162.8760951988085,161
READ_CALL_LOG,143.03714647530603,29
CONTROL_LOCATION_UPDATES,140.94906468316057,147
ACCESS_NETWORK_STATE,139.944681208249,38
SUBSCRIBED_FEEDS_WRITE,139.29615586795143,30
SUBSCRIBED_FEEDS_READ,137.10345732409428,40
ACCESS_SURFACE_FLINGER,135.20018882084156,166
CLEAR_APP_USER_DATA,133.9167037854763,162
BROADCAST_SMS,133.5758570726896,167
MODIFY_PHONE_STATE,131.37183552676404,193
BROADCAST_WAP_PUSH,130.417056964554,148
BIND_ACCESSIBILITY_SERVICE,130.26709049227085,149
VIBRATE,126.80010444617008,36
CHANGE_WIFI_MULTICAST_STATE,117.74594743016476,43
